Query,Platform,Result Title,Uploader,URL,Score,Duration
nighthawk cadez,Web (Vimeo),Nighthawk,Bonobostudio,https://vimeo.com/ondemand/nighthawk,100,0:42
nighthawk cadez,YouTube,Nighthawk (2016),Surrealism In Motion,https://www.youtube.com/watch?v=fQP1uUjoE2g,78,8:51
