Query,Platform,Result Title,Uploader,URL,Score,Duration
nighthawk cadez,Web (Vimeo),Nighthawk,Finta Film,https://vimeo.com/308542567,100,8:50
nighthawk cadez,YouTube,Nighthawk (2016),Surrealism In Motion,https://www.youtube.com/watch?v=fQP1uUjoE2g,78,8:51
